customer_id,customer_age,customer_income,home_ownership,employment_duration,loan_intent,loan_grade,loan_amnt,loan_int_rate,term_years,historical_default,cred_hist_length,Current_loan_status,monthly_debt,num_active_loans
1.0,22,59000.0,RENT,123.0,PERSONAL,C,35000.0,16.02,10,Y,3,DEFAULT,22647.89812716097,5
2.0,21,9600.0,OWN,5.0,EDUCATION,A,1000.0,11.14,1,,2,NO DEFAULT,4529.028586428633,1
3.0,25,9600.0,MORTGAGE,1.0,MEDICAL,B,5500.0,12.87,5,N,3,DEFAULT,2599.5926151187127,2
4.0,23,65500.0,RENT,4.0,MEDICAL,B,35000.0,15.23,10,N,2,DEFAULT,7334.9764343531415,2
5.0,24,54400.0,RENT,8.0,MEDICAL,B,35000.0,14.27,10,Y,4,DEFAULT,26049.91659474298,4
6.0,21,9900.0,OWN,2.0,VENTURE,A,2500.0,7.14,1,N,2,DEFAULT,1643.771012775263,1
7.0,26,77100.0,RENT,8.0,EDUCATION,A,35000.0,12.42,10,,3,NO DEFAULT,8996.47971302023,5
8.0,24,78956.0,RENT,5.0,MEDICAL,A,35000.0,11.11,10,,4,NO DEFAULT,35277.00729005896,3
9.0,24,83000.0,RENT,8.0,PERSONAL,A,35000.0,8.9,10,,2,NO DEFAULT,9990.373960981025,5
10.0,21,10000.0,OWN,6.0,VENTURE,C,1600.0,14.74,1,N,3,DEFAULT,3719.4218306179428,1
11.0,22,85000.0,RENT,6.0,VENTURE,A,35000.0,10.37,10,,4,NO DEFAULT,40454.78901629863,2
12.0,21,10000.0,OWN,2.0,HOMEIMPROVEMENT,A,4500.0,8.63,1,N,2,DEFAULT,1464.704670005141,3
13.0,23,95000.0,RENT,2.0,VENTURE,A,35000.0,7.9,10,,2,NO DEFAULT,10981.008097192189,1
14.0,26,108160.0,RENT,4.0,EDUCATION,D,35000.0,18.39,10,N,4,DEFAULT,48815.014181638195,3
15.0,23,115000.0,RENT,2.0,EDUCATION,A,35000.0,7.9,10,,4,NO DEFAULT,22488.48522443345,3
16.0,23,500000.0,MORTGAGE,7.0,DEBTCONSOLIDATION,A,30000.0,10.65,10,,3,NO DEFAULT,70958.5616307589,4
17.0,23,120000.0,RENT,0.0,EDUCATION,A,35000.0,7.9,10,,4,NO DEFAULT,44180.65344803032,2
